Date,Close/Last,Volume,Open,High,Low,Day
"44,008.00",15.45,"37,289,540.00",15.50,16.50,15.31,0.00
"44,011.00",15.57,"7,374,005.00",15.89,16.01,15.50,1.00
"44,012.00",15.77,"5,047,192.00",15.57,15.90,15.45,2.00
"44,013.00",15.76,"3,415,231.00",15.79,15.89,15.55,3.00
"44,014.00",15.81,"7,213,077.00",15.82,15.89,15.60,4.00
"44,018.00",15.52,"3,460,806.00",15.78,15.78,15.38,5.00
"44,019.00",15.18,"4,228,006.00",15.40,15.44,15.10,6.00
"44,020.00",15.16,"3,691,465.00",15.11,15.31,15.04,7.00
"44,021.00",14.75,"5,107,052.00",15.11,15.19,14.73,8.00
"44,022.00",14.60,"6,979,252.00",14.77,14.86,14.11,9.00
"44,025.00",14.00,"4,380,110.00",14.60,14.60,13.93,10.00
"44,026.00",14.59,"4,127,624.00",13.92,14.72,13.72,11.00
"44,027.00",14.62,"2,558,353.00",14.67,14.91,14.17,12.00
"44,028.00",14.98,"2,178,859.00",14.52,15.14,14.50,13.00
"44,029.00",15.35,"1,210,589.00",15.00,15.39,14.98,14.00
"44,032.00",15.59,"1,653,008.00",15.46,15.84,15.30,15.00
"44,033.00",15.67,"4,344,534.00",15.99,16.05,15.54,16.00
"44,034.00",16.00,"1,809,101.00",15.90,16.00,15.65,17.00
"44,035.00",16.03,"1,841,590.00",16.12,16.24,15.90,18.00
"44,036.00",16.11,"2,298,928.00",16.10,16.16,15.90,19.00
"44,039.00",15.24,"9,327,449.00",16.04,16.12,15.04,20.00
"44,040.00",15.10,"2,746,222.00",15.30,15.33,15.03,21.00
"44,041.00",15.37,"3,183,650.00",15.10,15.50,15.00,22.00
"44,042.00",14.95,"2,963,068.00",15.32,15.47,14.94,23.00
"44,043.00",14.86,"1,784,564.00",14.96,15.08,14.86,24.00
"44,046.00",14.83,"1,994,088.00",14.92,14.95,14.44,25.00
"44,047.00",15.18,"1,867,852.00",14.72,15.22,14.71,26.00
"44,048.00",15.47,"2,234,392.00",15.17,15.73,15.15,27.00
"44,049.00",15.27,"1,008,248.00",15.65,15.70,15.18,28.00
"44,050.00",15.35,"969,033.00",15.34,15.59,15.13,29.00
"44,053.00",15.37,"967,218.00",15.29,15.44,15.19,30.00
"44,054.00",14.92,"1,843,976.00",15.39,15.44,14.80,31.00
"44,055.00",14.80,"1,519,194.00",14.92,15.01,14.72,32.00
"44,056.00",14.90,"1,316,521.00",14.74,14.91,14.61,33.00
"44,057.00",14.85,"1,516,254.00",14.93,15.09,14.70,34.00
"44,060.00",14.93,"2,605,002.00",14.87,15.23,14.80,35.00
"44,061.00",15.07,"1,625,204.00",15.24,15.25,14.91,36.00
"44,062.00",15.19,"1,851,126.00",15.20,15.34,15.05,37.00
