Timestamp,watch_horror,movie_numbers,streaming_services,monthly_subscription
4/10/2025 16:10:42,Yes,2,Netflix,19
4/10/2025 16:28:02,No,1,Netflix,0
4/10/2025 16:28:03,Yes,5,Max,20
4/10/2025 16:42:50,Yes,5,Netflix,18
4/10/2025 16:44:37,Yes,0,Netflix,30
4/10/2025 16:51:39,Yes,2,Netflix,17.99
4/10/2025 16:59:44,Yes,4,Netflix,17.99
4/10/2025 17:10:39,Yes,3,Netflix,23
4/10/2025 17:16:55,Yes,5,Netflix,3
4/10/2025 17:31:31,No,0,Max,10
4/10/2025 17:44:56,No,0,Netflix,24.99
4/10/2025 18:00:04,Yes,1,Amazon Prime,10
4/10/2025 18:03:12,Yes,0,Netflix,0
4/10/2025 18:18:46,Yes,12,Netflix,24.99
4/10/2025 18:22:27,No,0,Netflix,7.99
4/10/2025 18:25:44,Yes,2,Max,12
4/10/2025 18:47:08,No,1,Netflix,7.99
4/10/2025 18:48:55,No,0,Netflix,17.99
4/10/2025 19:01:23,Yes,1,Max,10
4/10/2025 19:02:54,Yes,5,Netflix,100
4/10/2025 19:15:19,Yes,2,Netflix,17.99
4/10/2025 19:20:43,Yes,0,Netflix,12
4/10/2025 19:21:15,No,0,Netflix,100
4/10/2025 19:21:49,Yes,3,Netflix,14
4/10/2025 19:23:34,Yes,2,Amazon Prime,70
4/10/2025 19:25:01,Yes,3,Netflix,0
4/10/2025 19:25:27,Yes,0,Netflix,12
4/10/2025 19:26:56,Yes,2,Netflix,0
4/10/2025 20:01:59,Yes,0,Max,2.99
4/10/2025 21:30:06,No,0,Max,0
4/10/2025 21:32:30,Yes,1,Netflix,0
4/10/2025 21:32:32,Yes,0,Netflix,7.99
4/10/2025 22:20:47,No,0,Netflix,0
4/11/2025 0:40:59,No,0,Netflix,17
4/11/2025 1:33:28,Yes,0,Netflix,0
4/11/2025 1:35:53,Yes,1,Netflix,0
4/11/2025 4:46:57,Yes,9,Netflix,25
4/11/2025 7:51:48,Yes,0,Netflix,0
4/11/2025 8:46:46,No,1,Netflix,32
4/11/2025 9:37:46,Yes,1,Netflix,0
