Date,Day of the Week,Amount,Description,Financial goals and Savings,Method of Payment,Need/Want/Saving
,,,,,,
1/17/25,Friday,45.00,Textbook,School Supplies,Debit,Need
1/18/25,Saturday,1.00,Game,Entertainment and Recreation,Debit,Want
1/19/25,Sunday,,,,,
1/20/25,Monday,,,,,
1/21/25,Tuesday,18.00,Pizza and Soda,Food,Debit,Need
,,5.75,Tea,Food,Debit,Need
1/22/25,Wednesday,11.93,Pencils and Snacks,School Supplies and Food,Debit,Need
,,11.37,Pizza and Soda,Food,Debit,Need
1/23/25,Thursday,13.48,Video Game,Entertainment and Recreation,Debit,Want
